,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
779,arch/powerpc/mm/ptdump/segment_regs.c,64,1,1,1542359203.0,1542359203.0,1542359203.0,1,,0.0
780,drivers/net/ethernet/hisilicon/hns3/hns3pf/hclge_mbx.c,841,12,51,1513245787.0,1583997064.0,1535191516.0832343,60,23b4201dead4,25.0
781,drivers/crypto/chelsio/chtls/chtls_hw.c,426,5,6,1522503722.0,1576743708.0,1529151582.7488263,7,,0.0
782,drivers/infiniband/hw/hfi1/ud.c,1069,13,51,1438240663.0,1561702931.0,1469869031.4181478,47,942a89933570,17.02127659574468
783,drivers/watchdog/davinci_wdt.c,277,13,19,1311247043.0,1560994126.0,1388025210.5812275,29,,0.0
784,drivers/net/ethernet/intel/ixgbevf/mbx.c,336,7,8,1311247043.0,1524701289.0,1325648997.360119,8,,0.0
785,arch/sh/kernel/cpu/sh2a/setup-sh7269.c,568,4,8,1336613212.0,1570073353.0,1349482886.4295774,12,,0.0
786,drivers/gpu/drm/nouveau/nvkm/engine/gr/ctxgm107.c,994,1,20,1393902041.0,1525783187.0,1402575883.5875251,25,,0.0
787,drivers/gpu/drm/rcar-du/rcar_du_of.c,323,2,2,1515523227.0,1524559182.0,1515551202.0928793,2,c18e9a098605,50.0
788,fs/nilfs2/ifile.c,215,4,10,1311247043.0,1536047190.0,1325929434.6186047,10,,0.0
789,drivers/regulator/lp3972.c,568,9,15,1310891303.0,1559614293.0,1316900435.3961267,18,,0.0
790,drivers/video/fbdev/fsl-diu-fb.c,1999,20,50,1308573857.0,1575369530.0,1323222815.9239619,14,,0.0
791,drivers/crypto/virtio/virtio_crypto_mgr.c,321,3,3,1481767396.0,1558252303.0,1493130035.4299066,3,,0.0
792,drivers/tty/pty.c,968,25,77,1311247043.0,1536756826.0,1360018354.2809918,108,36ecc1481dc8,4.62962962962963
793,drivers/usb/host/ohci-nxp.c,291,14,24,1311247043.0,1571123985.0,1358146911.90378,36,,0.0
794,arch/x86/pci/mmconfig-shared.c,814,13,26,1306662216.0,1520383154.0,1327584283.887931,28,,0.0
795,net/sched/sch_etf.c,520,5,11,1530603773.0,1571031502.0,1532670125.648077,11,28aa7c86c2b4,9.090909090909092
796,net/rxrpc/skbuff.c,96,4,7,1311247043.0,1566872026.0,1478700746.8333333,17,d0d5c0cd1e71,5.88235294117647
797,drivers/gpu/drm/amd/display/dc/dce/dce_mem_input.c,808,13,22,1480493747.0,1568336568.0,1502381593.8106437,25,,0.0
798,drivers/gpu/host1x/cdma.c,634,8,18,1363941243.0,1559009404.0,1419712687.919304,20,,0.0
799,sound/soc/codecs/cs42xx8-i2c.c,63,2,2,1395310717.0,1435239853.0,1396578308.6190476,4,,0.0
800,net/netfilter/nft_counter.c,305,9,16,1381376480.0,1559614293.0,1453572404.4360657,17,d84701ecbcd6,5.88235294117647
801,arch/powerpc/sysdev/fsl_rmu.c,1114,8,12,1321099348.0,1558918501.0,1326256434.13465,13,,0.0
802,sound/firewire/motu/motu-protocol-v3.c,316,2,7,1490189428.0,1572426401.0,1492801673.4018986,8,5b33504bada4,12.5
803,drivers/scsi/qedf/qedf_io.c,2609,12,41,1487111303.0,1566499958.0,1504884884.8198543,43,1afca6b5f316,2.3255813953488373
804,drivers/staging/rtl8723bs/hal/HalBtc8723b1Ant.c,3765,4,4,1490788071.0,1560852884.0,1490874814.5755644,5,,0.0
805,arch/x86/power/hibernate_32.c,198,8,11,1311247043.0,1559354924.0,1363885630.60101,12,,0.0
806,drivers/mtd/devices/mtdram.c,187,7,8,1311247043.0,1518444191.0,1354682223.0374331,13,,0.0
807,arch/parisc/math-emu/dfrem.c,284,2,2,1311247043.0,1558670650.0,1312118252.883803,1,,0.0
808,drivers/net/wireless/intel/iwlwifi/iwl-dbg-tlv.c,1063,3,20,1526523270.0,1574653858.0,1560210048.9172153,30,4f565ee29999,13.333333333333334
809,net/bridge/br_forward.c,322,17,29,1311247043.0,1579844419.0,1411091035.0248446,45,28c1382fa28f,15.555555555555555
810,arch/s390/boot/ipl_report.c,165,1,1,1550730184.0,1550730184.0,1550730184.0,1,,0.0
811,arch/arm/kernel/time.c,113,11,12,1307685510.0,1573546606.0,1341622680.7699115,21,,0.0
812,tools/perf/scripts/perl/Perf-Trace-Util/Context.c,122,3,3,1311247043.0,1558918505.0,1316897607.5737705,3,,0.0
813,fs/btrfs/locking.c,525,9,33,1309949513.0,1571221750.0,1502468652.2209523,44,6e7ca09b583d,2.272727272727273
814,drivers/regulator/lm363x-regulator.c,366,5,12,1448524625.0,1561555592.0,1477135662.180328,14,962f170d9344,21.428571428571427
815,drivers/net/phy/rockchip.c,200,3,4,1502373400.0,1555073223.0,1503600086.515,5,,0.0
816,net/sched/act_sample.c,330,12,31,1485140829.0,1572422946.0,1506355026.4757576,44,92974a1d006a,54.54545454545454
817,drivers/w1/slaves/w1_smem.c,59,4,5,1311247043.0,1558489900.0,1346734992.7288136,5,,0.0
818,crypto/cipher.c,91,4,5,1311247043.0,1577711976.0,1417870914.1318681,6,,0.0
819,fs/xfs/xfs_dquot.c,1271,15,89,1309728456.0,1579770078.0,1419309747.057435,140,73971b172a43,1.4285714285714286
820,arch/mips/kernel/csrc-sb1250.c,71,4,6,1311247043.0,1558918506.0,1344403859.859155,6,,0.0
821,drivers/irqchip/irq-vt8500.c,244,8,11,1311247043.0,1558918505.0,1339504366.102459,9,,0.0
822,drivers/spmi/spmi-pmic-arb.c,1356,13,37,1392183864.0,1579574268.0,1455010202.240413,45,2d5a2f913b65,8.88888888888889
823,drivers/phy/broadcom/phy-bcm-sr-usb.c,394,1,1,1552977943.0,1552977943.0,1552977943.0,1,,0.0
824,drivers/staging/speakup/speakup_txprt.c,127,7,8,1311247043.0,1515640120.0,1345857036.1259842,15,,0.0
825,arch/arm/mach-s3c24xx/pll-s3c2440-12000000.c,95,6,7,1311247043.0,1514206472.0,1348265041.2631578,5,,0.0
826,drivers/misc/ibmasm/heartbeat.c,87,3,3,1311247043.0,1558918505.0,1314253642.5402298,2,,0.0
827,drivers/gpu/drm/exynos/exynos_drm_gem.c,546,18,52,1317727141.0,1561385188.0,1416741317.1538463,110,89452d4ab207,0.9090909090909091
