file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
drivers/acpi/ioapic.c,248,5,9,1423115089,1559614293,1434848074,9,e3d5092b6756,11.11111111
drivers/clk/hisilicon/reset.c,118,4,5,1461397228,1571064014,1463905219,5,e9a2310fb689,20.0
drivers/vfio/vfio.c,2223,22,60,1343693782,1559614293,1396905371,74,65b1adebfe43,8.108108108
drivers/net/ethernet/intel/ice/ice_txrx.c,2246,11,52,1521503893,1580923213,1537881175,58,0a6ea04e3bbd,3.448275862
net/ipv6/xfrm6_policy.c,308,17,25,1311247043,1576983069,1357940171,56,d9f92772e8ec,10.71428571
drivers/media/usb/dvb-usb/dib0700_devices.c,5160,22,60,1245767646,1576486301,1334772873,40,765bb8610d30,7.5
drivers/input/serio/parkbd.c,235,4,6,1308336712,1559614293,1332447028,5,0c6da0733bff,40.0
drivers/acpi/device_pm.c,1352,12,80,1351791609,1576463509,1423732507,105,b9ea0bae260f,14.28571429
drivers/net/wireless/ath/ath10k/debugfs_sta.c,777,12,20,1421042847,1556804210,1490995597,24,ef9051c72ab7,8.333333332999999
drivers/gpu/drm/nouveau/nouveau_mem.c,198,1,5,1509479779,1513221567,1509536473,51,74a39954a490,1.960784314
drivers/soc/qcom/smp2p.c,598,3,6,1443090303,1559085478,1448123522,6,63af8e44eaa5,16.66666667
drivers/gpu/drm/i915/i915_debugfs.c,4579,81,452,1307444966,1578630656,1472594197,1108,feed5c7be22c,4.061371841000001
drivers/md/bcache/btree.c,2658,20,122,1364026291,1579798902,1389602066,151,50a260e85996,0.662251656
drivers/pinctrl/bcm/pinctrl-iproc-gpio.c,924,15,27,1425879900,1578619524,1455899074,22,48659227e0a1,18.18181818
fs/afs/write.c,886,12,38,1310820296,1561025537,1432590324,44,a58823ac4589,9.090909091
arch/x86/events/amd/ibs.c,1026,15,43,1316575818,1571796595,1350373719,18,e431e79b6060,22.22222222
sound/usb/endpoint.c,1220,16,51,1307980322,1573611259,1352215193,64,1d0f953086f0,6.25
drivers/scsi/qedf/drv_fcoe_fw_funcs.c,196,5,6,1489228758,1559354934,1492600913,7,6f359f99b8c2,14.28571429
drivers/gpu/drm/drm_gem_cma_helper.c,656,19,30,1340782218,1558918506,1429169338,47,23e35c0eb81a,4.255319149
arch/powerpc/mm/drmem.c,447,3,9,1512096428,1558918501,1512661843,9,2f7d03e05119,11.11111111
crypto/skcipher.c,995,7,41,1440055305,1577966680,1496470335,50,0ba3c026e685,18.0
drivers/irqchip/irq-gic-v2m.c,581,13,24,1416912442,1567488659,1454273973,27,cbaf45a6be49,3.7037037039999996
drivers/infiniband/ulp/srp/ib_srp.c,4360,29,178,1310374312,1579066255,1398300930,224,0fbb37dd8299,8.482142857000001
drivers/ata/libata-transport.c,811,12,16,1311247043,1559009412,1319161714,16,2623c7a5f279,6.25
net/bluetooth/rfcomm/sock.c,1112,32,45,1305190209,1555512708,1320348375,49,c4f5627f7eee,2.040816327
crypto/sm3_generic.c,198,3,4,1503294688,1559519090,1504060258,5,d45a90cb5d06,20.0
drivers/net/ethernet/mellanox/mlx5/core/fpga/cmd.c,238,3,6,1489406745,1503566504,1491035808,6,99d3cd27f755,16.66666667
drivers/media/pci/bt8xx/bt878.c,562,8,8,1311247043,1558350479,1314224116,11,45392ff6881d,9.090909091
drivers/ata/libata-core.c,7448,78,164,1302853918,1579894649,1330855803,199,8385d756e114,8.040201005
net/8021q/vlan.c,742,26,42,1306378711,1558918501,1339156634,58,603d4cf8fe09,8.620689655
