lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,fixes_percent
147,1,1,1560823685,1560823685,1560823685,1,0
399,2,30,1370765302,1579041261,1457444256,30,0
171,10,17,1422832124,1549412531,1468163384,22,0
243,3,3,1458108860,1573484610,1514346513,3,0
355,3,3,1388974628,1559614293,1394186135,3,0
569,5,13,1552712687,1579500494,1561883447,14,14.28571429
302,12,21,1423566347,1566543451,1462815203,30,3.333333333
323,8,12,1306480715,1578389745,1331577235,13,0
234,7,10,1311247043,1574131568,1384941497,12,0
603,7,9,1450956032,1556606559,1452530935,9,0
128,3,3,1311247043,1509520077,1313212089,2,0
112,3,3,1311247043,1559009409,1314690469,2,0
1243,13,44,1428135182,1564457625,1446768208,48,16.66666667
1283,4,6,1532483071,1577839404,1532528359,6,16.66666667
629,5,13,1311247043,1558242500,1317148721,11,0
241,5,5,1457444939,1513941826,1462193851,6,16.66666667
646,3,3,1521350558,1558918521,1521445933,3,0
581,9,23,1311247043,1572517516,1421599279,45,4.444444444
359,7,8,1450853815,1563847044,1459251832,9,11.11111111
8131,12,295,1467428415,1581074786,1507979310,359,18.66295265
172,5,15,1472524687,1558918501,1477063366,15,20
125,4,10,1480934545,1559614293,1511791004,10,10
5390,63,143,1308622955,1582024131,1329902272,167,2.395209581
54,6,9,1404029819,1557986649,1449738507,7,0
170,4,13,1425554036,1559614293,1436359579,15,6.666666667
42,3,4,1311247043,1578548020,1450398119,16,0
31,2,2,1311247043,1359695435,1312809894,1,0
298,9,14,1463589353,1568950359,1506215040,1,100
27,2,2,1311247043,1558918505,1320420060,1,0
281,6,12,1360330933,1551356699,1441879318,17,5.882352941
952,11,30,1305014297,1559614293,1331300342,38,0
304,3,3,1490020125,1559120244,1490582627,4,0
73,4,4,1501833610,1579500409,1519834821,4,50
228,3,4,1462156745,1571149379,1463129391,4,25
225,6,8,1521532630,1578275030,1531304371,9,33.33333333
74,3,7,1351962113,1440053660,1387047758,8,0
364,6,7,1311247043,1558581281,1314541720,8,0
595,7,12,1536560878,1580714844,1540803475,15,40
600,7,8,1311247043,1558918506,1313482667,11,0
84,3,4,1411003450,1443714081,1417563635,6,0
27,2,2,1462837231,1509520077,1464566225,2,0
2219,3,10,1307980322,1559085167,1310036146,13,0
67,3,3,1466127287,1558918501,1498639600,3,0
211,2,6,1485240101,1573005333,1491460229,11,9.090909091
315,2,2,1311247043,1494230214,1311827942,1,0
867,9,26,1309672992,1558315142,1322751823,19,0
310,5,8,1311247043,1578627109,1314455336,15,0
130,8,11,1359128640,1576496333,1410026091,17,11.76470588
167,11,15,1311247043,1575449668,1357050613,15,6.666666667
